"transition","site","Longitude","Latitude","long.scaled","long.center","season","pr"
"1902-1903","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"gs",702
"1902-1903","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"ds",348
"1902-1903","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"gs",846
"1902-1903","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"ds",214
"1902-1903","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"gs",401
"1902-1903","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"ds",198
"1902-1903","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"gs",446
"1902-1903","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"ds",200
"1902-1903","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"gs",326
"1903-1904","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"ds",249
"1903-1904","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"gs",142
"1903-1904","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"ds",183
"1903-1904","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"gs",247
"1903-1904","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"ds",384
"1903-1904","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"gs",580
"1903-1904","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"ds",240
"1903-1904","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"gs",203
"1903-1904","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"ds",298
"1903-1904","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"gs",436
"1903-1904","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"ds",278
"1903-1904","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"gs",389
"1903-1904","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"ds",235
"1903-1904","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"gs",116
"1903-1904","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"ds",221
"1903-1904","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"gs",386
"1903-1904","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"ds",195
"1903-1904","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"gs",128
"1903-1904","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"ds",356
"1903-1904","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"gs",516
"1903-1904","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"ds",395
"1903-1904","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"gs",538
"1903-1904","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"ds",157
"1903-1904","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"gs",188
"1903-1904","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"ds",184
"1903-1904","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"gs",226
"1903-1904","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"ds",116
"1903-1904","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"gs",197
"1904-1905","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"ds",393
"1904-1905","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"gs",327
"1904-1905","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"ds",390
"1904-1905","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"gs",422
"1904-1905","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"ds",318
"1904-1905","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"gs",842
"1904-1905","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"ds",252
"1904-1905","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"gs",316
"1904-1905","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"ds",297
"1904-1905","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"gs",708
"1904-1905","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"ds",291
"1904-1905","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"gs",587
"1904-1905","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"ds",275
"1904-1905","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"gs",293
"1904-1905","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"ds",453
"1904-1905","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"gs",258
"1904-1905","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"ds",187
"1904-1905","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"gs",292
"1904-1905","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"ds",659
"1904-1905","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"gs",477
"1904-1905","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"ds",331
"1904-1905","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"gs",808
"1904-1905","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"ds",254
"1904-1905","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"gs",419
"1904-1905","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"ds",283
"1904-1905","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"gs",448
"1904-1905","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"ds",296
"1904-1905","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"gs",255
"1905-1906","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"ds",277
"1905-1906","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"gs",235
"1905-1906","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"ds",320
"1905-1906","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"gs",347
"1905-1906","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"ds",262
"1905-1906","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"gs",582
"1905-1906","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"ds",123
"1905-1906","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"gs",206
"1905-1906","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"ds",311
"1905-1906","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"gs",670
"1905-1906","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"ds",204
"1905-1906","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"gs",429
"1905-1906","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"ds",308
"1905-1906","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"gs",222
"1905-1906","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"ds",377
"1905-1906","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"gs",296
"1905-1906","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"ds",157
"1905-1906","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"gs",235
"1905-1906","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"ds",655
"1905-1906","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"gs",503
"1905-1906","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"ds",309
"1905-1906","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"gs",621
"1905-1906","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"ds",247
"1905-1906","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"gs",363
"1905-1906","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"ds",249
"1905-1906","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"gs",396
"1905-1906","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"ds",247
"1905-1906","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"gs",248
"1906-1907","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"ds",340
"1906-1907","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"gs",209
"1906-1907","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"ds",462
"1906-1907","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"gs",402
"1906-1907","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"ds",294
"1906-1907","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"gs",751
"1906-1907","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"ds",273
"1906-1907","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"gs",167
"1906-1907","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"ds",427
"1906-1907","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"gs",530
"1906-1907","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"ds",221
"1906-1907","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"gs",492
"1906-1907","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"ds",313
"1906-1907","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"gs",164
"1906-1907","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"ds",418
"1906-1907","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"gs",321
"1906-1907","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"ds",307
"1906-1907","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"gs",151
"1906-1907","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"ds",535
"1906-1907","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"gs",490
"1906-1907","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"ds",353
"1906-1907","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"gs",725
"1906-1907","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"ds",374
"1906-1907","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"gs",391
"1906-1907","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"ds",389
"1906-1907","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"gs",382
"1906-1907","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"ds",366
"1906-1907","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"gs",249
"1907-1908","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"ds",347
"1907-1908","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"gs",260
"1907-1908","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"ds",274
"1907-1908","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"gs",627
"1907-1908","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"ds",188
"1907-1908","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"gs",981
"1907-1908","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"ds",100
"1907-1908","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"gs",430
"1907-1908","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"ds",216
"1907-1908","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"gs",871
"1907-1908","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"ds",124
"1907-1908","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"gs",759
"1907-1908","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"ds",243
"1907-1908","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"gs",322
