"transition","site","Longitude","Latitude","long.scaled","long.center","season","tas"
"1902-1903","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"ds",26.8
"1902-1903","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"gs",13.84375
"1902-1903","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"ds",23.25
"1902-1903","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"gs",8.84375
"1902-1903","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"ds",27.2
"1902-1903","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"gs",15.73125
"1902-1903","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"ds",27.9
"1902-1903","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"gs",12.10625
"1902-1903","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"ds",27.95
"1902-1903","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"gs",12.5375
"1902-1903","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"ds",24.4125
"1902-1903","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"gs",7.85625
"1903-1904","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"ds",23.1375
"1903-1904","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"gs",9.4625
"1903-1904","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"ds",24.1375
"1903-1904","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"gs",10.4
"1903-1904","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"ds",25.6125
"1903-1904","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"gs",16.5875
"1903-1904","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"ds",25.1875
"1903-1904","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"gs",15.6
"1903-1904","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"ds",26.4
"1903-1904","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"gs",14.44375
"1903-1904","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"ds",26.2
"1903-1904","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"gs",16.66875
"1903-1904","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"ds",24.15
"1903-1904","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"gs",11.85
"1903-1904","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"ds",23.1125
"1903-1904","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"gs",7.63125
"1903-1904","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"ds",24.9125
"1903-1904","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"gs",14.925
