Longitude,Latitude,month,year,tempmin,site,long.scaled,long.center
-99.7714,30.4897,1,1986,5.4,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1986,6.7,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1986,6.8,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1986,3.1,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1986,1.7,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1986,0.8,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1986,1.3,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1986,-0.6,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1986,0.2,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1986,1.9,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1986,4.5,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1986,7.8,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1986,3.5,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1987,3.5,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1987,4.8,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1987,6.4,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1987,5.5,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1987,-0.7,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1987,-3,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1987,-3,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1987,-2.9,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1987,-4.6,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1987,-2.7,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1987,-0.9,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1987,3.2,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1987,6.5,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1987,0.8,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1988,2.3,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1988,3.1,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1988,4.1,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1988,3.7,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1988,-0.6,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1988,-3.2,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1988,-4.9,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1988,-3,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1988,-6.6,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1988,-3.1,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1988,-1.5,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1988,1.8,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1988,4.9,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1988,0.5,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1989,6.1,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1989,7.2,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1989,9.6,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1989,10,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1989,4.1,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1989,0.7,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1989,0.6,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1989,1.9,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1989,-0.2,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1989,1.1,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1989,2,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1989,6.5,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1989,11.4,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1989,4.8,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1990,5.4,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1990,7.1,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1990,9.2,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1990,9,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1990,3.9,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1990,-0.2,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1990,0.9,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1990,3.2,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1990,0.4,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1990,1.9,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1990,2,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1990,6.6,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1990,10.1,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1990,4.6,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1991,3.8,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1991,5,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1991,5.7,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1991,5.6,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1991,-0.1,vernon,-0.375074316,-0.852236643
