"transition","site","Longitude","Latitude","long.scaled","long.center","season","tas"
"1980-1981","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"ds",27.85
"1980-1981","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"gs",13.7875
"1980-1981","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"ds",27.475
"1980-1981","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"gs",9.7
"1980-1981","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"ds",28.675
"1980-1981","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"gs",15.325
"1980-1981","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"ds",30.025
"1980-1981","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"gs",13.05
"1980-1981","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"ds",30.5
"1980-1981","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"gs",13.2375
"1980-1981","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"ds",27.475
"1980-1981","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"gs",10.375
"1981-1982","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"ds",23.75
"1981-1982","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"gs",9.44999999999999
"1981-1982","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"ds",26.725
"1981-1982","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"gs",9.9125
"1981-1982","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"ds",26.925
"1981-1982","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"gs",16.8125
"1981-1982","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"ds",26.6
"1981-1982","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"gs",15.075
"1981-1982","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"ds",27.6
"1981-1982","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"gs",13.75
"1981-1982","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"ds",27.45
"1981-1982","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"gs",16.325
"1981-1982","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"ds",24.525
"1981-1982","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"gs",11.45
"1981-1982","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"ds",25.175
"1981-1982","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"gs",7.425
"1981-1982","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"ds",25.55
"1981-1982","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"gs",14.35
"1981-1982","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"ds",24.825
"1981-1982","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"gs",8.625
"1981-1982","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"ds",26.6
"1981-1982","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"gs",15.7375
"1981-1982","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"ds",28.15
"1981-1982","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"gs",12.325
"1981-1982","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"ds",28.225
"1981-1982","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"gs",12.6
"1981-1982","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"ds",25.525
"1981-1982","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"gs",8.4125
"1982-1983","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"ds",23.625
"1982-1983","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"gs",7.775
"1982-1983","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"ds",26.1
"1982-1983","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"gs",9.96249999999999
"1982-1983","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"ds",28
"1982-1983","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"gs",15.85
"1982-1983","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"ds",27.65
"1982-1983","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"gs",14.6375
"1982-1983","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"ds",27.875
"1982-1983","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"gs",13.375
"1982-1983","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"ds",29.05
"1982-1983","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"gs",15.4875
"1982-1983","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"ds",24.875
"1982-1983","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"gs",9.9375
"1982-1983","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"ds",25.025
"1982-1983","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"gs",7.7875
"1982-1983","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"ds",27.075
"1982-1983","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"gs",13.825
"1982-1983","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"ds",24.3
"1982-1983","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"gs",9.02500000000001
"1982-1983","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"ds",27.25
"1982-1983","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"gs",14.9625
"1982-1983","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"ds",27.125
"1982-1983","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"gs",11.9875
"1982-1983","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"ds",27.525
"1982-1983","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"gs",12.35
"1982-1983","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"ds",24.85
"1982-1983","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"gs",8.5
"1983-1984","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"ds",24.475
"1983-1984","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"gs",8.43750000000001
"1983-1984","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"ds",26.675
"1983-1984","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"gs",9.1125
"1983-1984","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"ds",26.15
"1983-1984","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"gs",16.1125
"1983-1984","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"ds",27.025
"1983-1984","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"gs",15.1125
