"long","lat","region"
-87.4620056152344,30.3896808624268,"alabama"
-87.4849319458008,30.3724918365479,"alabama"
-87.525032043457,30.3724918365479,"alabama"
-87.53076171875,30.3323860168457,"alabama"
-87.5708694458008,30.3266544342041,"alabama"
-87.5880584716797,30.3266544342041,"alabama"
-87.5937881469727,30.3094673156738,"alabama"
-87.5937881469727,30.286548614502,"alabama"
-87.6740036010742,30.275089263916,"alabama"
-87.8115158081055,30.2579021453857,"alabama"
-87.8802642822266,30.2464408874512,"alabama"
-87.9203720092773,30.2464408874512,"alabama"
-87.9547500610352,30.2464408874512,"alabama"
-88.0063171386719,30.2407131195068,"alabama"
-88.0177764892578,30.2521705627441,"alabama"
-88.0120468139648,30.269359588623,"alabama"
-87.9948577880859,30.275089263916,"alabama"
-87.9547500610352,30.275089263916,"alabama"
-87.9031829833984,30.2808208465576,"alabama"
-87.8286972045898,30.286548614502,"alabama"
-87.8000564575195,30.286548614502,"alabama"
-87.8000564575195,30.3266544342041,"alabama"
-87.8172378540039,30.3438453674316,"alabama"
-87.8401565551758,30.3839530944824,"alabama"
-87.8516235351562,30.4011421203613,"alabama"
-87.8745346069336,30.4125995635986,"alabama"
-87.9031829833984,30.4240608215332,"alabama"
-87.9261016845703,30.4469795227051,"alabama"
-87.9318313598633,30.4928131103516,"alabama"
-87.9432907104492,30.527193069458,"alabama"
-87.9203720092773,30.5615692138672,"alabama"
-87.9146423339844,30.5844879150391,"alabama"
-87.9261016845703,30.6188640594482,"alabama"
-87.9203720092773,30.670431137085,"alabama"
-87.9490203857422,30.6990776062012,"alabama"
-87.989128112793,30.7907524108887,"alabama"
-88.0063171386719,30.7964820861816,"alabama"
-88.0177764892578,30.802209854126,"alabama"
-88.0349655151367,30.7907524108887,"alabama"
-88.0464248657227,30.7563762664795,"alabama"
-88.0521545410156,30.727725982666,"alabama"
-88.0521545410156,30.7105388641357,"alabama"
-88.063606262207,30.6876201629639,"alabama"
-88.0693435668945,30.6818885803223,"alabama"
-88.0808029174805,30.6303253173828,"alabama"
-88.0808029174805,30.6131362915039,"alabama"
-88.0979919433594,30.6074066162109,"alabama"
-88.1094436645508,30.5959453582764,"alabama"
-88.1151809692383,30.5844879150391,"alabama"
-88.1094436645508,30.5558376312256,"alabama"
-88.1209106445312,30.4813556671143,"alabama"
-88.1209106445312,30.4412479400635,"alabama"
-88.1266403198242,30.3896808624268,"alabama"
-88.1323699951172,30.3610343933105,"alabama"
-88.1438293457031,30.3438453674316,"alabama"
-88.161018371582,30.3381156921387,"alabama"
-88.172477722168,30.3381156921387,"alabama"
-88.1896591186523,30.3553047180176,"alabama"
-88.2240447998047,30.3782234191895,"alabama"
-88.2354965209961,30.3954105377197,"alabama"
-88.2870635986328,30.4011421203613,"alabama"
-88.3157119750977,30.4011421203613,"alabama"
-88.3329010009766,30.4011421203613,"alabama"
-88.35009765625,30.4240608215332,"alabama"
-88.3902053833008,30.4125995635986,"alabama"
-88.4073867797852,30.7334575653076,"alabama"
-88.4188461303711,30.9970169067383,"alabama"
-88.430305480957,31.123067855835,"alabama"
-88.4532241821289,31.432466506958,"alabama"
-88.4646835327148,31.6960258483887,"alabama"
-88.4761428833008,31.8908290863037,"alabama"
-88.430305480957,32.22314453125,"alabama"
-88.430305480957,32.3090896606445,"alabama"
-88.3902053833008,32.5783805847168,"alabama"
-88.35009765625,32.9221534729004,"alabama"
-88.3386306762695,32.985179901123,"alabama"
-88.2985305786133,33.2831192016602,"alabama"
-88.2756042480469,33.5294914245605,"alabama"
-88.2526931762695,33.7357559204102,"alabama"
-88.2068557739258,34.0623397827148,"alabama"
-88.2068557739258,34.0795288085938,"alabama"
-88.1839370727539,34.3144416809082,"alabama"
-88.166748046875,34.4634094238281,"alabama"
-88.1495513916016,34.5837326049805,"alabama"
-88.1094436645508,34.8988571166992,"alabama"
-88.1323699951172,34.9045906066895,"alabama"
-88.166748046875,34.9504280090332,"alabama"
-88.1896591186523,34.996265411377,"alabama"
-88.1839370727539,35.0134506225586,"alabama"
-87.989128112793,35.0134506225586,"alabama"
-87.6052474975586,35.0077209472656,"alabama"
-87.2270965576172,35.0019912719727,"alabama"
-87.2041702270508,35.0019912719727,"alabama"
-86.8260269165039,34.996265411377,"alabama"
-86.7801895141602,34.9905319213867,"alabama"
-86.3103637695312,34.9905319213867,"alabama"
-85.8519973754883,34.9848022460938,"alabama"
-85.6113510131836,34.9790725708008,"alabama"
-85.5884399414062,34.8415641784668,"alabama"
-85.5426025390625,34.6181106567383,"alabama"
-85.5254058837891,34.5837326049805,"alabama"
-85.4681167602539,34.2628746032715,"alabama"
-85.4280090332031,34.0795288085938,"alabama"
-85.4050903320312,33.9592094421387,"alabama"
-85.3936309814453,33.907642364502,"alabama"
-85.3477935791016,33.6612701416016,"alabama"
-85.3134155273438,33.4951095581055,"alabama"
-85.2962265014648,33.4320907592773,"alabama"
-85.2446594238281,33.1169624328613,"alabama"
-85.2389297485352,33.1054992675781,"alabama"
-85.1930923461914,32.8705902099609,"alabama"
-85.1930923461914,32.8591270446777,"alabama"
-85.1701812744141,32.8419418334961,"alabama"
-85.1472549438477,32.7903747558594,"alabama"
-85.1300735473633,32.7674560546875,"alabama"
-85.1300735473633,32.7502670288086,"alabama"
-85.1243438720703,32.733081817627,"alabama"
-85.1014175415039,32.67578125,"alabama"
-85.1014175415039,32.6356735229492,"alabama"
-85.0670394897461,32.6070289611816,"alabama"
-85.0498580932617,32.5554618835449,"alabama"
-85.0097503662109,32.5268173217773,"alabama"
-84.9868316650391,32.4981651306152,"alabama"
-84.992561340332,32.4695167541504,"alabama"
-84.9753723144531,32.4236831665039,"alabama"
-84.9810943603516,32.3778457641602,"alabama"
-85.004020690918,32.3377380371094,"alabama"
-84.9753723144531,32.3090896606445,"alabama"
-84.9238052368164,32.2804412841797,"alabama"
-84.9008865356445,32.2517929077148,"alabama"
-84.9295349121094,32.2346076965332,"alabama"
-84.9524536132812,32.228874206543,"alabama"
-84.9696426391602,32.2002258300781,"alabama"
-84.992561340332,32.1830368041992,"alabama"
-85.0498580932617,32.1601181030273,"alabama"
-85.0613098144531,32.1200141906738,"alabama"
-85.0613098144531,32.1028251647949,"alabama"
-85.0613098144531,32.085636138916,"alabama"
-85.0613098144531,32.0627174377441,"alabama"
-85.0613098144531,32.0283432006836,"alabama"
