"x","y"
-102.083333333333,39.9166666666667
-101.916666666667,39.9166666666667
-101.75,39.9166666666667
-101.583333333333,39.9166666666667
-101.416666666667,39.9166666666667
-101.25,39.9166666666667
-101.083333333333,39.9166666666667
-100.916666666667,39.9166666666667
-100.75,39.9166666666667
-100.583333333333,39.9166666666667
-100.416666666667,39.9166666666667
-100.25,39.9166666666667
-100.083333333333,39.9166666666667
-99.9166666666667,39.9166666666667
-99.75,39.9166666666667
-99.5833333333333,39.9166666666667
-99.4166666666667,39.9166666666667
-99.25,39.9166666666667
-99.0833333333333,39.9166666666667
-98.9166666666667,39.9166666666667
-98.75,39.9166666666667
-98.5833333333333,39.9166666666667
-98.4166666666667,39.9166666666667
-98.25,39.9166666666667
-98.0833333333333,39.9166666666667
-97.9166666666667,39.9166666666667
-97.75,39.9166666666667
-97.5833333333333,39.9166666666667
-97.4166666666667,39.9166666666667
-97.25,39.9166666666667
-97.0833333333333,39.9166666666667
-96.9166666666667,39.9166666666667
-96.75,39.9166666666667
-96.5833333333333,39.9166666666667
-96.4166666666667,39.9166666666667
-96.25,39.9166666666667
-96.0833333333333,39.9166666666667
-95.9166666666667,39.9166666666667
-95.75,39.9166666666667
-95.5833333333333,39.9166666666667
-95.4166666666667,39.9166666666667
-95.25,39.9166666666667
-95.0833333333333,39.9166666666667
-94.9166666666667,39.9166666666667
-102.083333333333,39.75
-101.916666666667,39.75
-101.75,39.75
-101.583333333333,39.75
-101.416666666667,39.75
-101.25,39.75
-101.083333333333,39.75
-100.916666666667,39.75
-100.75,39.75
-100.583333333333,39.75
-100.416666666667,39.75
-100.25,39.75
-100.083333333333,39.75
-99.9166666666667,39.75
-99.75,39.75
-99.5833333333333,39.75
-99.4166666666667,39.75
-99.25,39.75
-99.0833333333333,39.75
-98.9166666666667,39.75
-98.75,39.75
-98.5833333333333,39.75
-98.4166666666667,39.75
-98.25,39.75
-98.0833333333333,39.75
-97.9166666666667,39.75
-97.75,39.75
-97.5833333333333,39.75
-97.4166666666667,39.75
-97.25,39.75
-97.0833333333333,39.75
-96.9166666666667,39.75
-96.75,39.75
-96.5833333333333,39.75
-96.4166666666667,39.75
-96.25,39.75
-96.0833333333333,39.75
-95.9166666666667,39.75
-95.75,39.75
-95.5833333333333,39.75
-95.4166666666667,39.75
-95.25,39.75
-95.0833333333333,39.75
-94.9166666666667,39.75
-102.083333333333,39.5833333333333
-101.916666666667,39.5833333333333
-101.75,39.5833333333333
-101.583333333333,39.5833333333333
-101.416666666667,39.5833333333333
-101.25,39.5833333333333
-101.083333333333,39.5833333333333
-100.916666666667,39.5833333333333
-100.75,39.5833333333333
-100.583333333333,39.5833333333333
-100.416666666667,39.5833333333333
-100.25,39.5833333333333
-100.083333333333,39.5833333333333
-99.9166666666667,39.5833333333333
-99.75,39.5833333333333
-99.5833333333333,39.5833333333333
-99.4166666666667,39.5833333333333
