Longitude,Latitude,month,year,tempmax,site,long.scaled,long.center
-97.469,30.179,1,1986,18.5,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1986,17.3,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1986,17.7,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1986,15.9,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1986,14.3,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1986,13.1,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1986,11.4,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1986,10.1,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1986,17.4,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1986,16.1,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1986,18.4,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1986,17.1,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1987,15.1,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1987,16,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1987,16.6,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1987,15,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1987,10.4,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1987,8.5,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1987,6.7,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1987,6,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1987,4.2,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1987,5.7,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1987,11.6,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1987,13,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1987,16.2,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1987,11.2,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1988,13.3,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1988,14.7,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1988,14.4,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1988,13.4,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1988,9.7,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1988,8.3,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1988,4.5,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1988,6.1,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1988,2.6,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1988,5.1,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1988,10.2,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1988,11,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1988,14.9,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1988,10.5,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1989,17.8,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1989,18.3,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1989,19,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1989,18.5,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1989,17.7,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1989,14.8,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1989,13.3,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1989,12.9,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1989,11.7,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1989,10.9,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1989,16.3,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1989,16.3,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1989,20.2,Katy,1.108289626,2.518234357
