Longitude,Latitude,month,year,Census.year,ppt,site,long.scaled,long.center
-94.6997,37.4103,1,1984,1983,10.39,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1984,1983,3.64,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1984,1983,29.99,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1984,1983,52.55,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1984,1983,10.64,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1985,1984,42.96,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1985,1984,46.06,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1985,1984,36.45,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1985,1984,93.33,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1985,1984,22.8,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1985,1984,21.24,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1985,1984,11.59,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1985,1984,41.31,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1985,1984,22.04,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1985,1984,63.12,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1985,1984,16.4,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1985,1984,26.03,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1985,1984,76.36,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1985,1984,34.76,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1986,1985,14.06,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1986,1985,13.44,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1986,1985,27.86,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1986,1985,23.19,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1986,1985,0.34,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1986,1985,0.44,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1986,1985,0.2,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1986,1985,0.36,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1986,1985,0.82,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1986,1985,0.61,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1986,1985,1.51,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1986,1985,0.65,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1986,1985,29.75,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1986,1985,1.54,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1987,1986,7.95,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1987,1986,14.78,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1987,1986,26.75,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1987,1986,37.05,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1987,1986,29.08,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1987,1986,29.08,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1987,1986,36.11,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1987,1986,55.27,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1987,1986,36.04,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1987,1986,43.91,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1987,1986,12.12,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1987,1986,39.16,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1987,1986,51.43,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1987,1986,43.86,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1988,1987,1.62,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1988,1987,7.3,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1988,1987,14.9,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1988,1987,27.47,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1988,1987,23.09,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1988,1987,8.05,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1988,1987,27.84,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1988,1987,42.96,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1988,1987,18.3,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1988,1987,8.46,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1988,1987,8.44,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1988,1987,18.68,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1988,1987,23.28,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1988,1987,25.72,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1989,1988,16.27,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1989,1988,43.93,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1989,1988,114.44,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1989,1988,213.93,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1989,1988,25.76,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1989,1988,8.3,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1989,1988,12.19,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1989,1988,34.9,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1989,1988,20.76,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1989,1988,48.26,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1989,1988,14.56,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1989,1988,97.26,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1989,1988,158.85,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1989,1988,38.91,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1990,1989,19.05,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1990,1989,14.24,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1990,1989,32.51,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1990,1989,210.96,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1990,1989,41.42,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1990,1989,30.16,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1990,1989,27.33,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1990,1989,43.18,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1990,1989,43.42,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1990,1989,62.19,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1990,1989,15.05,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1990,1989,129.71,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1990,1989,105.02,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1990,1989,61.14,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1991,1990,56.61,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1991,1990,48.67,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1991,1990,271.14,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1991,1990,314.06,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1991,1990,57.3,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1991,1990,21.94,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1991,1990,7.8,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1991,1990,16.92,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1991,1990,13.05,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1991,1990,51.98,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1991,1990,32.67,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1991,1990,68.19,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1991,1990,222.22,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1991,1990,70.78,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1992,1991,45.28,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1992,1991,58.94,llano,-0.5866772,-1.333036643
