rcp,model,longitude,latitude,unit,site,transition,season,pr
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1877-1878,ds,216.8387148
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1877-1878,gs,270.596772
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1878-1879,ds,87.32258231
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1878-1879,gs,253.9193603
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1879-1880,ds,270.2258064
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1879-1880,gs,279.6874351
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1880-1881,ds,202.1290293
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1880-1881,gs,304.5599133
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1881-1882,ds,222.7419364
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1881-1882,gs,291.8940112
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1882-1883,ds,309.3225858
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1882-1883,gs,245.2949351
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1883-1884,ds,195.4838722
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1883-1884,gs,325.4004432
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1884-1885,ds,237.4193543
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1884-1885,gs,317.3801805
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1885-1886,ds,201.4516151
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1885-1886,gs,344.691241
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1886-1887,ds,93.99999934
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1886-1887,gs,207.7672819
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1887-1888,ds,392.1612989
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1887-1888,gs,300.1234735
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1888-1889,ds,219.6774233
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1888-1889,gs,336.9101352
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1889-1890,ds,83.61290435
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1889-1890,gs,357.493085
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1890-1891,ds,397.4516151
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1890-1891,gs,305.0253416
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1891-1892,ds,278.806455
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1891-1892,gs,435.9710789
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1892-1893,ds,347.3870953
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1892-1893,gs,241.370968
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1893-1894,ds,193.9999991
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1893-1894,gs,191.2672786
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1894-1895,ds,74.16129133
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1894-1895,gs,323.7534597
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1895-1896,ds,262.5161295
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1895-1896,gs,297.0934398
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1896-1897,ds,107.9677424
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1896-1897,gs,263.0990775
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1897-1898,ds,151.7096785
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1897-1898,gs,200.2557598
