"location","rcp","model","longitude","latitude","unit","site","transition","season","tas"
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1874-1875","gs",14.8531127929688
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1875-1876","ds",28.7613235473633
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1875-1876","gs",13.8802982330321
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1876-1877","ds",26.2416511535646
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1876-1877","gs",14.7757278442383
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1877-1878","ds",26.1588912963866
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1877-1878","gs",14.8918281555175
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1878-1879","ds",27.7546821594239
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1878-1879","gs",14.5231853485108
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1879-1880","ds",25.433351135254
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1879-1880","gs",13.4979320526123
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1880-1881","ds",26.903066253662
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1880-1881","gs",15.1562229156495
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1881-1882","ds",26.120877838135
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1881-1882","gs",14.5040508270264
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1882-1883","ds",25.4978729248048
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1882-1883","gs",15.997394180298
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1883-1884","ds",26.1781173706057
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1883-1884","gs",13.8097492218017
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1884-1885","ds",25.7549835205079
